"","x","y","c"
"364",1976,-0.279180825592076,"Instrumentalness"
"365",1977,-0.241166432589044,"Instrumentalness"
"366",1978,-0.238321119450685,"Instrumentalness"
"367",1979,0.162909146658162,"Instrumentalness"
"368",1980,-0.144137350570989,"Instrumentalness"
"369",1981,0.371222636258627,"Instrumentalness"
"370",1982,-0.304618337027162,"Instrumentalness"
"371",1983,-0.1417850046663,"Instrumentalness"
"372",1984,-0.469018372017378,"Instrumentalness"
"373",1985,-0.0456903045344895,"Instrumentalness"
"374",1986,-0.286830255113692,"Instrumentalness"
"375",1987,-0.0446135350591127,"Instrumentalness"
"376",1988,-0.244173812660036,"Instrumentalness"
"377",1989,-0.118359680655441,"Instrumentalness"
"378",1990,-0.281608806682218,"Instrumentalness"
"379",1991,-0.233155210849072,"Instrumentalness"
"380",1992,-0.393712432951185,"Instrumentalness"
"381",1993,-0.246235227023642,"Instrumentalness"
"382",1994,-0.38413039910899,"Instrumentalness"
"383",1995,-0.213327365302383,"Instrumentalness"
"384",1996,-0.280978599477168,"Instrumentalness"
"385",1997,-0.140075908199046,"Instrumentalness"
"386",1998,-0.360570959711461,"Instrumentalness"
"387",1999,-0.274669557137813,"Instrumentalness"
"388",2000,-0.255869039139402,"Instrumentalness"
"389",2001,-0.197828271362751,"Instrumentalness"
"390",2002,-0.337026477529178,"Instrumentalness"
"391",2003,-0.244903085152929,"Instrumentalness"
"392",2004,-0.393779212539603,"Instrumentalness"
"393",2005,-0.299153508510856,"Instrumentalness"
"394",2006,-0.229609468542232,"Instrumentalness"
"395",2007,-0.138899470250368,"Instrumentalness"
"396",2008,-0.132743664026791,"Instrumentalness"
"397",2009,0.0835628711349275,"Instrumentalness"
"398",2010,0.156126544645767,"Instrumentalness"
"399",2011,0.112416273924111,"Instrumentalness"
"400",2012,0.121587480763688,"Instrumentalness"
"401",2013,0.713361854662072,"Instrumentalness"
"402",2014,0.696006371367622,"Instrumentalness"
"403",2015,0.154515672461072,"Instrumentalness"
"404",2016,0.0452643981260343,"Instrumentalness"
"405",2017,0.0632525653684144,"Instrumentalness"
"406",2018,0.49543314043462,"Instrumentalness"
"407",2019,0.234262219717205,"Instrumentalness"
"408",2020,0.0942487185831224,"Instrumentalness"
"409",1970,0.101321942052257,"Liveness"
"410",1971,-0.0263787799072128,"Liveness"
"411",1972,-0.259316438611018,"Liveness"
"412",1973,0.373800226478093,"Liveness"
"413",1974,0.169322642324039,"Liveness"
"414",1975,0.470087074796421,"Liveness"
"415",1976,-0.00384525469586932,"Liveness"
"416",1977,0.283218878151955,"Liveness"
"417",1978,0.32362858165459,"Liveness"
"418",1979,-0.932368323052731,"Liveness"
"419",1980,0.21411429728954,"Liveness"
"420",1981,0.531188424433944,"Liveness"
"421",1982,0.150843359935502,"Liveness"
"422",1983,-0.272950466853989,"Liveness"
"423",1984,0.0784678386324682,"Liveness"
"424",1985,-0.656335101997206,"Liveness"
"425",1986,-0.362792398736552,"Liveness"
"426",1987,0.274304926253062,"Liveness"
"427",1988,-0.271324310280729,"Liveness"
"428",1989,-0.0574864862471988,"Liveness"
"429",1990,-0.415007567976941,"Liveness"
"430",1991,-0.160531952083141,"Liveness"
"431",1992,-0.114312243075888,"Liveness"
"432",1993,0.838164214059602,"Liveness"
"433",1994,0.110098057361268,"Liveness"
"434",1995,0.164804652316192,"Liveness"
"435",1996,0.190866844050882,"Liveness"
"436",1997,1.60297974951688,"Liveness"
"437",1998,0.225909309018172,"Liveness"
"438",1999,0.425957125077894,"Liveness"
"439",2000,0.686957823080681,"Liveness"
"440",2001,0.139426437513212,"Liveness"
"441",2002,0.193888415379422,"Liveness"
"442",2003,-0.137008886141502,"Liveness"
"443",2004,-0.0932535028057233,"Liveness"
"444",2005,0.956833272867304,"Liveness"
"445",2006,0.226010568080959,"Liveness"
"446",2007,0.201317412291711,"Liveness"
"447",2008,0.141643952990627,"Liveness"
"448",2009,0.576973319196016,"Liveness"
"449",2010,0.122585381417009,"Liveness"
"450",2011,0.404010874907401,"Liveness"
"451",2012,0.342104343251076,"Liveness"
"452",2013,0.276958187562909,"Liveness"
"453",2014,0.230130206395138,"Liveness"
"454",2015,0.103455627682995,"Liveness"
"455",2016,0.173240770085471,"Liveness"
"456",2017,-0.164449995766531,"Liveness"
"457",2018,-0.153775165160254,"Liveness"
"458",2019,-0.031876499644737,"Liveness"
"459",2020,0.0581741914351051,"Liveness"
"460",1970,0.293567897173607,"Valence"
"461",1971,-0.818935545323153,"Valence"
"462",1972,0.749345792307888,"Valence"
"463",1973,-0.10948990835923,"Valence"
"464",1974,0.258648512834946,"Valence"
"465",1975,-0.321323805482022,"Valence"
"466",1976,-0.0604200757177788,"Valence"
"467",1977,-0.187849270573677,"Valence"
"468",1978,0.455087623271246,"Valence"
"469",1979,0.597961970374347,"Valence"
"470",1980,0.236765267346197,"Valence"
"471",1981,0.739462517946677,"Valence"
"472",1982,0.287670973163996,"Valence"
"473",1983,0.263560160641101,"Valence"
"474",1984,0.0450945620108022,"Valence"
"475",1985,0.104817401954777,"Valence"
"476",1986,0.425378785187617,"Valence"
"477",1987,-0.182268263888472,"Valence"
"478",1988,0.436872068612447,"Valence"
"479",1989,0.151218587025416,"Valence"
"480",1990,0.0894095495755642,"Valence"
"481",1991,-0.111792919751385,"Valence"
"482",1992,0.381427139120633,"Valence"
"483",1993,-0.150028201617276,"Valence"
"484",1994,-0.323553260795336,"Valence"
"485",1995,-0.145177456628016,"Valence"
"486",1996,0.251797598113935,"Valence"
"487",1997,-0.611615842559841,"Valence"
"488",1998,0.133589010213677,"Valence"
"489",1999,0.14127474157711,"Valence"
"490",2000,0.207905908447095,"Valence"
"491",2001,-0.0440986220339543,"Valence"
"492",2002,-0.317153519972244,"Valence"
"493",2003,0.234378755622538,"Valence"
"494",2004,-0.0833112586256592,"Valence"
"495",2005,-0.17170109583535,"Valence"
"496",2006,-0.156639008842906,"Valence"
"497",2007,0.0766414261327909,"Valence"
"498",2008,0.0805227752450989,"Valence"
"499",2009,-0.0905426975961639,"Valence"
"500",2010,0.0190209904014128,"Valence"
"501",2011,-0.655587899079697,"Valence"
"502",2012,-0.834807436784743,"Valence"
"503",2013,-1.39506171746331,"Valence"
"504",2014,-1.67253771965055,"Valence"
"505",2015,-1.53069571833696,"Valence"
"506",2016,-1.59846456847232,"Valence"
"507",2017,-1.49351345377545,"Valence"
"508",2018,-1.4834606108889,"Valence"
"509",2019,-1.27770830230533,"Valence"
"510",2020,-1.41803485923963,"Valence"
"511",1970,0.193239318773414,"Tempo"
"512",1971,-0.449806583891734,"Tempo"
"513",1972,0.02442080688135,"Tempo"
"514",1973,0.236615132098567,"Tempo"
"515",1974,-0.356412311044179,"Tempo"
"516",1975,-0.425815609149741,"Tempo"
"517",1976,0.0392224001154033,"Tempo"
"518",1977,0.318366828164439,"Tempo"
"519",1978,-0.0411704247844343,"Tempo"
"520",1979,-0.00681673584238188,"Tempo"
"521",1980,0.476578292397483,"Tempo"
"522",1981,0.29997064074657,"Tempo"
"523",1982,-0.172709563159991,"Tempo"
"524",1983,-0.0427394223514331,"Tempo"
"525",1984,0.135703046767573,"Tempo"
"526",1985,-0.248477019753646,"Tempo"
"527",1986,-0.478955451422417,"Tempo"
"528",1987,-0.080927974923787,"Tempo"
"529",1988,-0.729070266115867,"Tempo"
"530",1989,-0.173317042771582,"Tempo"
"531",1990,-0.355763826754059,"Tempo"
"532",1991,-0.52401836566514,"Tempo"
"533",1992,-0.455169064950169,"Tempo"
"534",1993,-0.961775196224305,"Tempo"
"535",1994,-0.771296965851582,"Tempo"
"536",1995,-1.11405980577142,"Tempo"
"537",1996,-1.04955219893299,"Tempo"
"538",1997,-0.634639078827524,"Tempo"
"539",1998,-0.85885034726179,"Tempo"
"540",1999,-0.696198997577187,"Tempo"
"541",2000,-0.507098488054707,"Tempo"
"542",2001,-0.485828196832764,"Tempo"
"543",2002,-0.830884263188939,"Tempo"
"544",2003,-0.968907283283603,"Tempo"
"545",2004,-0.611402708468259,"Tempo"
"546",2005,-0.239836612662086,"Tempo"
"547",2006,-0.311069117160631,"Tempo"
"548",2007,-0.48622451084724,"Tempo"
"549",2008,0.185171983384671,"Tempo"
"550",2009,-0.232052062124084,"Tempo"
"551",2010,-0.141738326487724,"Tempo"
"552",2011,-0.19537784698316,"Tempo"
"553",2012,-0.268794353158359,"Tempo"
"554",2013,-0.0396386370337249,"Tempo"
"555",2014,0.0155159823084159,"Tempo"
"556",2015,-0.269775803869172,"Tempo"
"557",2016,-0.307325435790145,"Tempo"
"558",2017,-0.293204502316016,"Tempo"
"559",2018,-0.312322420958412,"Tempo"
"560",2019,-0.117401412447128,"Tempo"
"561",2020,-0.0832631167049542,"Tempo"
"562",1970,0.00632712089912109,"Duration"
"563",1971,1.74270837108879,"Duration"
"564",1972,0.142673339525902,"Duration"
"565",1973,0.730650027847787,"Duration"
"566",1974,-0.186953732269599,"Duration"
"567",1975,1.09939016160842,"Duration"
"568",1976,0.699050239329321,"Duration"
"569",1977,0.264790538646476,"Duration"
"570",1978,0.24618411454321,"Duration"
"571",1979,0.599642885348465,"Duration"
"572",1980,0.319429605598246,"Duration"
"573",1981,0.188545392914212,"Duration"
"574",1982,0.419703986741975,"Duration"
"575",1983,1.02452126810073,"Duration"
"576",1984,0.414244250620218,"Duration"
"577",1985,0.897972268411083,"Duration"
"578",1986,0.69206260477913,"Duration"
"579",1987,0.935258899461051,"Duration"
"580",1988,1.15435560633519,"Duration"
"581",1989,0.94425718717381,"Duration"
"582",1990,1.05994783538149,"Duration"
"583",1991,1.1110208110894,"Duration"
"584",1992,0.629134066848169,"Duration"
"585",1993,0.686703644387838,"Duration"
"586",1994,0.513069176367394,"Duration"
"587",1995,0.763830008860043,"Duration"
"588",1996,0.669677326004953,"Duration"
"589",1997,0.767674082020933,"Duration"
"590",1998,0.834656121691665,"Duration"
"591",1999,0.109105404593628,"Duration"
"592",2000,0.3785830289135,"Duration"
"593",2001,0.389704109986717,"Duration"
"594",2002,0.370055895528554,"Duration"
"595",2003,0.135685183864485,"Duration"
"596",2004,0.138564205185117,"Duration"
"597",2005,0.0320453264558478,"Duration"
"598",2006,0.0503259346594839,"Duration"
"599",2007,0.219106219283399,"Duration"
"600",2008,0.100230977377847,"Duration"
"601",2009,0.140930379885997,"Duration"
"602",2010,-0.0257137986563367,"Duration"
"603",2011,0.384953056843741,"Duration"
"604",2012,0.278887448801853,"Duration"
"605",2013,0.247626565903731,"Duration"
"606",2014,0.091876648807361,"Duration"
"607",2015,-0.365166728971107,"Duration"
"608",2016,-0.608228330589306,"Duration"
"609",2017,-0.693314132490681,"Duration"
"610",2018,-1.06124943628455,"Duration"
"611",2019,-1.30795635245852,"Duration"
"612",2020,-1.36065817082555,"Duration"
